French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
